Contour,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt09,Pt10,Pt11,Pt12,Pt13,Pt14,Pt15,Pt16
249,16.3605,14.0811,11.4643,8.75032,9.10615,8.05017,6.59631,5.8684,4.87661,4.31028,4.09884,3.14548,2.5424,2.42125,2.30243,1.65782,,,,10.9469,,,,,,,,2.60597,,,,
250,14.9735,13.5125,10.6489,7.42736,8.68932,7.93843,6.11388,5.39242,4.82839,3.80181,3.87623,3.17936,2.54167,2.32597,2.03195,1.56246,,7.60252,,,8.20114,,,,,,3.35099,,,3.57783,,
251,14.5387,12.4024,10.2133,7.13449,8.55788,7.47688,5.9628,5.29061,4.56659,3.67281,3.88972,2.88884,2.36468,2.12589,1.84276,1.47958,,,,6.09455,12.1278,,,,,,,,1.09324,,,
252,12.935,10.5809,9.41791,7.05648,7.82062,6.92731,5.8091,5.02186,4.5723,3.25079,3.78409,2.75159,2.27324,2.19618,1.80641,1.16659,,,,7.64384,,,,,,,,3.37913,,,1.88825,0
253,11.6401,9.28894,9.36952,6.83081,7.45064,6.45339,5.59241,4.97791,4.35249,2.8655,3.27324,2.70611,2.24346,2.03649,1.65915,1.1528,,,,,4.87802,,,,,,,,,,,
254,10.6799,8.7011,9.13522,6.87136,7.49297,6.09001,4.95135,4.66137,4.07317,2.51553,3.06101,2.49225,2.10321,1.67712,1.5979,1.05147,,,,,,5.09141,5.72226,,,,,,,,,
255,10.6829,8.41483,8.10999,6.62936,7.2172,5.81432,4.79252,4.3462,3.54343,2.58358,2.91771,2.38873,2.05975,1.6871,1.36097,1.16441,,8.02696,14.3198,,,,,,,,,,,,,
256,10.175,8.24234,7.34847,6.13702,6.48183,5.41926,4.93236,4.21787,3.61078,2.46117,2.81835,2.10681,2.1305,1.73387,1.18658,1.00644,,,,7.99447,,5.70202,,4.12736,,,,,,1.58181,,1.57863
257,9.52048,7.17797,7.12341,5.98108,6.28806,5.37631,4.65714,4.01918,3.47729,2.43676,2.52906,2.13075,1.88804,1.69622,0.961834,0.956675,10.9435,6.79206,,,,,,,,,,,,,,
258,9.48288,6.02241,6.61876,6.03875,5.96166,5.52806,4.57839,3.73993,3.17636,2.21259,2.29972,2.05955,1.83635,1.55728,0.881294,0.894666,,7.02339,4.72414,,,,,4.3985,4.09967,,,,1.40755,1.77656,1.35834,
259,9.41684,5.58722,6.26342,5.38501,5.61458,4.82025,4.24569,3.12845,3.1232,2.14822,2.17785,1.93947,1.69997,1.34467,0.806981,0.865651,,,,,,,,,,,,,,,,
260,8.74588,5.22595,6.20082,4.99378,5.41006,4.29938,3.86009,2.73239,2.73231,2.09633,1.81102,1.84302,1.78662,1.115,0.723951,0.886619,,,,2.02342,,,,,,,1.69677,,,0.651435,0.167132,
261,8.45339,4.27429,6.19231,5.18572,5.20155,4.02573,3.74276,2.59164,2.72575,2.28495,1.61189,1.53859,1.63017,0.852043,0.802243,0.717676,,3.06328,,,,,,,,,0.523839,,,,0.904267,
262,8.85779,4.41455,5.49266,4.86709,4.83954,3.83691,3.08553,2.3183,2.59016,2.07846,1.38589,1.7827,1.56225,0.844894,0.853263,0.62643,,,5.25024,,,,,,3.40809,,,,0.884109,,0.152625,
263,8.84975,4.90191,5.17248,4.68714,4.60153,3.63232,2.66827,2.34348,2.38816,2.09703,1.29822,1.60592,1.33641,0.803231,0.687277,0.571922,,,,3.87698,,,,2.95307,,,,,,0,,
264,8.84107,5.41706,4.58119,4.55357,4.28149,3.16956,2.37524,1.7739,2.39586,2.00387,1.53429,1.34945,1.23052,0.847353,0.638055,0.460466,7.07995,,,,,3.95552,,,,,,,,,,
265,8.63395,5.25947,4.24326,4.00716,3.97421,2.92371,2.08596,1.62333,1.98153,2.0413,1.38612,1.46082,1.0932,0.871824,0.484004,0.411407,,7.19089,,,,2.13682,,,,,,,,0,,
266,7.6853,5.07667,4.68362,4.11081,3.66371,3.00002,1.99698,1.46678,2.0945,1.89894,1.21495,1.33572,0.992987,0.723486,0.454556,0.280936,,,,,5.11942,,,1.26519,,,,,1.19037,0,,
267,6.58102,4.11462,4.77457,4.16791,3.28061,2.78732,1.63729,1.38268,1.85967,1.75388,1.20208,1.22266,0.868851,0.568072,0.493365,0.244291,,,8.02774,,,1.26886,,,,,1.71987,,,,,
268,6.74218,4.19871,4.54033,3.97306,2.74647,2.59952,1.53441,1.47006,1.74179,1.49474,1.06799,1.19101,0.951515,0.653148,0.498929,0.248011,,,,,,,,,1.46611,2.07058,,0.87736,,,,
269,6.13502,4.32253,3.92819,3.98903,2.72125,1.87004,1.41453,1.13561,1.61358,1.42628,0.983347,1.10954,0.77838,0.536936,0.438494,0.0231848,,5.10537,,5.47536,3.18038,,,2.24318,1.92883,2.40492,,,,,1.53309,0.127061
270,6.06949,4.50112,3.46636,4.27884,2.58174,1.83342,1.26729,1.06691,1.62109,1.40323,1.04823,1.04351,0.908993,0.348289,0.324438,0,5.73607,4.53093,3.12258,,,,,,,2.60227,,2.23723,,,,
271,6.23199,3.78793,3.35352,4.16166,2.55829,1.86985,0.984695,1.18287,1.76363,1.0337,1.19608,0.959109,0.800284,0.378308,0.311437,0,,,2.23765,,2.80909,,,,,,,,,,0.325387,
272,5.55604,4.10979,3.1075,3.93895,2.49017,2.01835,1.30207,1.02907,1.59909,0.948289,1.06734,1.21234,0.805237,0.586562,0.312968,0,,,,,,,,,,,,,,,,
273,4.87334,4.38256,3.03973,3.84245,1.88458,2.297,1.85271,0.844236,1.34983,0.80609,0.911866,1.06599,0.817992,0.613156,0.14727,0,,,,5.50748,,,0,,,,,,0.754712,,0.611082,
274,4.31864,3.65978,2.93109,3.15042,1.833,2.39399,1.81056,0.472781,1.21098,0.89153,0.763394,1.037,0.637565,0.422295,0.183807,0.0873731,,,,,,,,,,,,,,,0.685037,
275,3.90014,3.34706,2.86238,2.83342,2.14646,2.52361,2.2011,0.796917,1.04459,1.18844,0.553234,0.868688,0.521757,0.303271,0.0864502,0.0796641,,,,,,,0.91526,,,,,,0,,,0.265023
276,3.8461,2.63435,2.71226,2.73694,2.16239,2.39775,2.42993,0.91827,1.28114,1.07201,0.566135,0.747,0.444334,0.253451,0.115261,0.125784,,4.733,2.82222,,,,,,0,1.74583,,,,,,
277,4.08602,2.7129,2.42528,1.65777,2.13337,2.53598,2.23868,1.04753,1.08371,0.981238,0.573043,0.712108,0.321544,0.404304,0.0172541,0.129789,,1.85292,,,,,,,,,0.680783,,,,,1.7401
278,5.26589,2.59711,2.38227,1.73069,2.80687,2.26312,2.10873,1.16839,1.09439,0.881563,0.392079,0.769444,0.284148,0.56315,0.0889265,0.203099,,,,,,,,,0.466326,,,0.844886,,,1.26433,0
279,4.8699,3.29638,2.50256,1.22952,2.82757,2.36372,1.99285,1.05292,1.06841,0.952294,0.442106,0.5861,0.176464,0.306782,0.115795,0.332254,,,,,,3.00997,,,,2.02356,1.52733,,,,,
280,4.61519,3.04461,3.23678,0.687881,2.81616,2.776,1.94852,0.968762,1.18681,1.03573,0.327892,0.747075,0.342541,0.231302,0.102382,0.590136,,,,0.383615,1.76086,,,,,,1.40659,,,,,0.859854
281,3.99965,2.82905,2.96365,0,2.83015,2.66512,2.01652,0.89205,0.970422,0.898068,0.265439,0.68845,0.290673,0.344066,0.120586,0.819429,,,,,4.2731,,0.653392,,,,,,,,,0.828658
282,3.21656,3.21537,2.7096,0.468089,2.26889,2.36187,2.07038,0.71631,0.606577,1.12466,0.0951839,0.897118,0.147813,0.381992,0.0719046,0.72997,3.0447,,4.7756,,,,,1.71111,,1.42422,0.234844,,,,,
283,3.61618,2.74449,2.61767,0.921389,2.09984,2.12388,1.70655,0.729514,0.69948,0.99918,0.369808,0.739049,0.104065,0.275523,0,0.622811,,,,,,,,,,0,0,,0,,,
284,3.57292,1.93085,3.08212,0.993907,2.87196,2.00329,1.17146,1.00754,0.936409,0.990243,0.45165,0.600147,0,0.185921,0,0.605389,,,,,,,1.41109,1.30153,,,,1.52547,,0,,
285,4.36496,2.31971,2.95193,1.09638,3.15049,1.90492,0.833283,1.13163,0.9929,1.06548,0.391352,0.504228,0,0.241414,0,0.59021,,,,,3.32548,,,,,,,,,,,
286,4.75964,2.06932,2.88886,0.981408,2.59009,1.78349,0.484525,0.998714,1.05785,0.755558,0.444683,0.713914,0,0.335606,0.0653263,0.559824,,2.09255,,,,1.33575,,,,0.245481,,,,,,0.78037
287,4.08482,2.40453,2.38959,0.720146,2.61093,1.38532,0.407509,0.827052,1.06417,0.807797,0.219301,0.719396,0.0116138,0.369585,0.193024,0.548861,4.08959,,1.37769,,,,,2.46086,,,1.13039,,,,,
288,3.51954,2.27647,1.8336,1.03104,2.70927,1.39337,0.413921,0.648836,1.05078,0.934424,0.202885,0.766426,0,0.180555,0.287386,0.503365,,,,0.74293,,,0.250852,,,,,,,,,
289,2.29772,2.7532,1.94189,0.814016,2.08458,1.49211,0.355447,0.477714,0.877509,0.907811,0.286909,0.711883,0,0.158938,0.0759552,0.466409,,,,,0.181176,,,0.709524,0,,1.49949,,,,0,
290,1.86535,2.33431,1.94173,1.08797,2.05347,1.30399,0.365795,0.413669,1.11662,0.880259,0.240549,0.74539,0,0.294497,0,0.326736,,0.968589,,,1.8538,0.65379,,,,0.965956,,,,,,0.934615
291,1.48646,2.1408,1.66138,1.08825,1.77298,1.1008,0.507456,0.501736,0.955799,0.533644,0.313478,0.564792,0,0.370195,0.093796,0.185506,,,0.969373,0.887509,4.5863,1.87215,0.386196,,,,,,,,,
292,1.29727,1.70618,1.98041,0.76524,1.67,1.11058,0.379032,0.604565,0.958245,0.516164,0.333969,0.594431,0,0.310684,0.0948423,0.133279,,,1.41377,1.85568,,1.54276,,,1.34155,,,,,,,
293,2.02395,2.40884,1.59112,0.558807,1.90565,1.40743,0.229701,0.608635,1.22424,0.367293,0.56242,0.393923,0,0.374565,0,0.0943716,,,,,,,,0.0747713,,,,,0.980902,,,0.255201
294,1.52668,2.89641,1.49319,0.287125,1.72814,1.25736,0.114466,0.848702,1.13548,0.403296,0.528231,0.451117,0,0.410902,0,0.181631,1.50463,,,,3.21743,,,,1.89886,,,,,,0,
295,1.23345,3.23155,1.31739,0.12908,0.971147,0.732461,0.326043,0.826407,0.863934,0.55036,0.379034,0.657868,0,0.530289,0,0.0932111,,,,0,,,,,0,,,,,1.29797,0,
296,0.52406,3.1256,1.57926,0.286271,0.553685,0.389985,0.66252,1.04277,0.578689,0.452463,0.437452,0.814592,0.312799,0.551362,0,0,0.830973,,,,,,,0.874022,0,,,,,,,
297,0.25724,2.99349,1.55182,0.295546,0.303504,0.230778,0.67616,1.11171,0.37613,0.523032,0.380709,0.897087,0.353452,0.520279,0,0,,2.60391,,,1.13961,,,,,,,,,,,0
298,0.615509,2.84798,1.90193,0.665377,0,0.31677,0.75452,1.39037,0.13335,0.449963,0.483201,1.01464,0.466071,0.508608,0,0,,,,,,,,,,,,,,,,
299,0.850346,2.67093,2.42518,0.79911,0,0,0.830695,1.585,0.0884637,0.389684,0.439772,1.09384,0.661817,0.576252,0,0,,,,,,,,,,,,,,,,
300,1.57857,2.52924,2.1713,0.653623,0,0,1.02921,1.74456,0.00543991,0.525885,0.448857,1.23149,0.765123,0.589026,0,0,,,,,,,,,,,,,,,,
